sub	ses	modality	run	task	acq	dir	filepath	AcquisitionDate	AcquisitionTime	sbref
01	01	sbref	1	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retCB_run-01_sbref.nii.gz		14:55:26.320000	
01	01	sbref	2	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retCB_run-02_sbref.nii.gz		15:56:37.692500	
01	01	sbref	1	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retFF_run-01_sbref.nii.gz		14:48:43.765000	
01	01	sbref	2	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retFF_run-02_sbref.nii		15:48:13.330000	
01	01	sbref	2	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retFF_run-02_sbref.nii.gz		15:48:13.330000	
01	01	sbref	1	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retRW_run-01_sbref.nii.gz		14:41:38.310000	
01	01	sbref	2	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-01/func/sub-01_ses-01_task-retRW_run-02_sbref.nii.gz		15:41:1.162500	
01	02	T1w	1				/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/anat/sub-01_ses-02_run-01_T1w.nii		11:23:13.670000	
01	02	T1w	1				/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/anat/sub-01_ses-02_run-01_T1w.nii.gz		11:23:13.670000	
01	02	T2w	1				/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/anat/sub-01_ses-02_run-01_T2w.nii.gz		12:44:31.707500	
01	02	bold	1	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-WC_run-01_bold.nii.gz			
01	02	bold	2	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-WC_run-02_bold.nii.gz			
01	02	bold	3	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-WC_run-03_bold.nii.gz			
01	02	bold	4	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-WC_run-04_bold.nii.gz			
01	02	bold	5	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-WC_run-05_bold.nii.gz			
01	02	bold	6	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-WC_run-06_bold.nii.gz			
01	02	bold	1	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-01_bold.nii.gz		11:35:18.435000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-01_sbref.nii.gz
01	02	bold	2	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-02_bold.nii.gz		11:41:18.525000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-02_sbref.nii.gz
01	02	bold	3	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-03_bold.nii.gz		12:02:3.250000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-03_sbref.nii.gz
01	02	bold	4	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-04_bold.nii.gz		12:08:24.352500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-04_sbref.nii.gz
01	02	bold	5	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-05_bold.nii.gz		12:15:27.520000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-05_sbref.nii.gz
01	02	bold	6	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-06_bold.nii.gz		13:37:49.862500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-06_sbref.nii.gz
01	02	bold	7	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-07_bold.nii.gz		13:43:53.095000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-07_sbref.nii.gz
01	02	bold	8	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-08_bold.nii.gz		13:49:50.537500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-08_sbref.nii.gz
01	02	bold	9	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-09_bold.nii.gz		13:56:6.572500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-09_sbref.nii.gz
01	02	bold	10	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-10_bold.nii.gz		14:02:7.105000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-10_sbref.nii.gz
01	02	bold	1	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retCB_run-01_bold.nii.gz		12:38:25.362500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retCB_run-01_sbref.nii.gz
01	02	bold	2	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retCB_run-02_bold.nii.gz		13:30:42.907500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retCB_run-02_sbref.nii.gz
01	02	bold	1	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retFF_run-01_bold.nii.gz		12:31:55.022500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retFF_run-01_sbref.nii.gz
01	02	bold	2	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retFF_run-02_bold.nii.gz		13:24:20.992500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retFF_run-02_sbref.nii.gz
01	02	bold	1	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retRW_run-01_bold.nii.gz		12:25:3.735000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retRW_run-01_sbref.nii.gz
01	02	bold	2	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retRW_run-02_bold.nii.gz		13:17:31.740000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retRW_run-02_sbref.nii.gz
01	02	sbref	1	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-01_sbref.nii.gz		11:35:4.435000	
01	02	sbref	2	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-02_sbref.nii.gz		11:41:4.525000	
01	02	sbref	3	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-03_sbref.nii.gz		12:01:49.250000	
01	02	sbref	4	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-04_sbref.nii.gz		12:08:10.352500	
01	02	sbref	5	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-05_sbref.nii.gz		12:15:13.520000	
01	02	sbref	6	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-06_sbref.nii.gz		13:37:35.862500	
01	02	sbref	7	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-07_sbref.nii.gz		13:43:39.095000	
01	02	sbref	8	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-08_sbref.nii.gz		13:49:36.537500	
01	02	sbref	9	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-09_sbref.nii.gz		13:55:52.572500	
01	02	sbref	10	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-fLoc_run-10_sbref.nii.gz		14:01:53.105000	
01	02	sbref	1	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retCB_run-01_sbref.nii.gz		12:38:11.362500	
01	02	sbref	2	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retCB_run-02_sbref.nii.gz		13:30:28.907500	
01	02	sbref	1	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retFF_run-01_sbref.nii.gz		12:31:41.022500	
01	02	sbref	2	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retFF_run-02_sbref.nii.gz		13:24:6.992500	
01	02	sbref	1	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retRW_run-01_sbref.nii.gz		12:24:49.735000	
01	02	sbref	2	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-02/func/sub-01_ses-02_task-retRW_run-02_sbref.nii.gz		13:17:17.740000	
01	03	T1w	1				/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/anat/sub-01_ses-03_run-01_T1w.nii		14:02:49.125000	
01	03	T1w	1				/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/anat/sub-01_ses-03_run-01_T1w.nii.gz		14:02:49.125000	
01	03	bold	1	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-WC_run-01_bold.nii.gz			
01	03	bold	2	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-WC_run-02_bold.nii.gz			
01	03	bold	3	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-WC_run-03_bold.nii.gz			
01	03	bold	4	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-WC_run-04_bold.nii.gz			
01	03	bold	5	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-WC_run-05_bold.nii.gz			
01	03	bold	6	WC			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-WC_run-06_bold.nii.gz			
01	03	bold	1	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-01_bold.nii.gz		14:16:35.202500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-01_sbref.nii.gz
01	03	bold	2	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-02_bold.nii.gz		14:23:14.432500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-02_sbref.nii.gz
01	03	bold	3	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-03_bold.nii.gz		14:29:43.537500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-03_sbref.nii.gz
01	03	bold	4	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-04_bold.nii.gz		14:36:5.700000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-04_sbref.nii.gz
01	03	bold	5	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-05_bold.nii.gz		14:42:25.077500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-05_sbref.nii.gz
01	03	bold	6	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-06_bold.nii.gz		17:11:59.862500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-06_sbref.nii.gz
01	03	bold	7	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-07_bold.nii.gz		17:18:49.517500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-07_sbref.nii.gz
01	03	bold	8	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-08_bold.nii.gz		17:31:6.990000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-08_sbref.nii.gz
01	03	bold	9	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-09_bold.nii.gz		17:37:10.805000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-09_sbref.nii.gz
01	03	bold	10	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-10_bold.nii.gz		17:43:16.175000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-10_sbref.nii.gz
01	03	bold	1	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retCB_run-01_bold.nii.gz		15:07:25.370000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retCB_run-01_sbref.nii.gz
01	03	bold	2	retCB			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retCB_run-02_bold.nii.gz		17:01:35.027500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retCB_run-02_sbref.nii.gz
01	03	bold	1	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retFF_run-01_bold.nii.gz		15:00:41.850000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retFF_run-01_sbref.nii.gz
01	03	bold	2	retFF			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retFF_run-02_bold.nii.gz		16:54:53.747500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retFF_run-02_sbref.nii.gz
01	03	bold	1	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retRW_run-01_bold.nii.gz		14:53:40.652500	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retRW_run-01_sbref.nii.gz
01	03	bold	2	retRW			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retRW_run-02_bold.nii.gz		16:47:28.485000	/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-retRW_run-02_sbref.nii.gz
01	03	sbref	1	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-01_sbref.nii.gz		14:16:21.202500	
01	03	sbref	2	fLoc			/bcbl/home/public/Gari/VOTCLOC/main_exp/BIDS/sub-01/ses-03/func/sub-01_ses-03_task-fLoc_run-02_sbref.nii.gz		14:23:0.432500	
